Size,Heap Sort, Bubble Sort, Selection Sort, Insertion Sort
1,0,0,0,0
2,1,0,1,0
3,3,1,3,1
4,6,2,6,1
5,10,3,10,3
6,15,6,15,6
7,21,8,21,8
8,28,11,28,11
9,36,16,36,16
10,45,18,45,19
11,55,24,55,22
12,66,30,66,31
13,78,34,78,38
14,91,43,91,42
15,105,49,105,50
16,120,55,120,57
17,136,61,136,63
18,153,66,153,69
19,171,83,171,81
20,190,91,190,90
21,210,95,210,104
22,231,111,231,114
23,253,119,253,117
24,276,136,276,136
25,300,152,300,142
26,325,162,325,155
27,351,173,351,169
28,378,182,378,182
29,406,189,406,196
30,435,205,435,211